path,energi0,homogenitas0,entropy0,contras0,dissimilarity0,ASM0,correlation0,energi45,homogenitas45,entropy45,contras45,dissimilarity45,ASM45,correlation45,energi90,homogenitas90,entropy90,contras90,dissimilarity90,ASM90,correlation90,energi135,homogenitas135,entropy135,contras135,dissimilarity135,ASM135,correlation135
Donut (10).jpeg,0.018362379279039956,0.32409851597198425,8.640705421412354,715816961.0002055,5592321.00000047,0.018362379279039956,0.952399074028456,0.01689009280062985,0.2844091242416106,8.843149810161137,715816961.0001996,5592320.999999386,0.01689009280062985,0.930433784262687,0.018068228231633388,0.30891312759959466,8.709719244865916,715816961.0000081,5592321.0000005625,0.018068228231633388,0.9485077379698719,0.01701440661450679,0.28631902699872946,8.837040589339239,715816961.0001624,5592320.999999615,0.01701440661450679,0.9290761243593156
Donut (10).jpg,0.005828113953196955,0.4081643722521216,8.053431235907988,715816961.0000548,5592321.000000942,0.005828113953196955,0.961087111131344,0.0047584316513291465,0.3526609640325276,8.310594115265681,715816961.0000695,5592320.999999046,0.0047584316513291465,0.9370529774834753,0.006023173988258579,0.39857552810623553,8.077237517422784,715816960.9999961,5592321.0000017695,0.006023173988258579,0.9595685543677932,0.004801951573046769,0.3555850476809837,8.298610540731822,715816961.0000477,5592321.000001242,0.004801951573046769,0.9341113732584801
Donut (100).jpeg,0.07785885680292282,0.5464728436592394,6.614546083040777,715816961.0000739,5592320.99999981,0.07785885680292282,0.9928021884716756,0.07498278951352191,0.5029927966852715,6.773563643558331,715816961.000238,5592320.999999861,0.07498278951352191,0.989591644592242,0.0784159035134125,0.5528662021244434,6.594170664669347,715816961.0000843,5592320.99999961,0.0784159035134125,0.9927800375272826,0.074562497178474,0.4790108911825261,6.887647951774957,715816961.0002781,5592321.000000428,0.074562497178474,0.9849638072218113
Donut (101).jpeg,0.0204681715053101,0.6284390418812186,6.860343775575887,715816961.0000334,5592321.000001163,0.0204681715053101,0.9664462542034901,0.018091904992791286,0.5672816529841473,7.20619146732581,715816960.99985,5592320.999999015,0.018091904992791286,0.9346592324589514,0.01999063500383635,0.6086327915663845,6.980896969225261,715816961.0001742,5592320.999999306,0.01999063500383635,0.9553393283188736,0.017936170836724122,0.5583482062189071,7.224552333284326,715816960.9998388,5592320.999999759,0.017936170836724122,0.9363670320430403
Donut (102).jpeg,0.00027082285279144655,0.24800374251703253,9.269722696291037,715816960.9998899,5592321.000001123,0.00027082285279144655,0.9738159803926737,9.770218077288074e-05,0.1427625299446759,9.986990749304296,715816960.9999052,5592321.000000993,9.770218077288074e-05,0.8625657814275743,0.00011710678007473724,0.1547018685084446,9.881296479725458,715816961.000033,5592320.9999997355,0.00011710678007473724,0.8927503824554853,0.00010408512868317346,0.14268686780955941,9.919814238027506,715816960.999868,5592320.9999981085,0.00010408512868317346,0.8962608094406629
Donut (103).jpeg,0.00027551281136717207,0.3173947450278454,9.111514717368925,715816960.9998552,5592321.000000285,0.00027551281136717207,0.9278520739219096,0.00013174446593921103,0.2044803868283174,9.633919246266434,715816960.9999181,5592321.000001636,0.00013174446593921103,0.8586315453064393,0.0001620800106693205,0.2385485262684225,9.475173895494967,715816960.9998981,5592321.0000010785,0.0001620800106693205,0.8932138916132786,0.0001303143900774387,0.2034667219297228,9.641288467168843,715816960.9999384,5592320.999999525,0.0001303143900774387,0.8511079533877961
Donut (104).jpeg,0.0004283976846606708,0.2720738335450364,9.28597043286157,715816960.9998131,5592321.000000913,0.0004283976846606708,0.946715672273752,0.00033495754514595554,0.22967266573874195,9.516268392339093,715816961.0000111,5592320.999999821,0.00033495754514595554,0.9189575693018935,0.00040489731309937334,0.2656885052068045,9.314084568527383,715816961.0002546,5592321.000000594,0.00040489731309937334,0.9435927505484668,0.000328046374553828,0.22291392287489287,9.518617461607386,715816961.0001416,5592320.999999138,0.000328046374553828,0.917344463748153
Fries-Train (1).jpeg,0.0009396434475471847,0.3061444772837655,8.993560788325198,715816961.0001988,5592321.000000923,0.0009396434475471847,0.9721653216419212,0.0006577293058110266,0.2393116147113572,9.320514803431665,715816961.0000697,5592320.999999095,0.0006577293058110266,0.9455356559610946,0.0007572437422843228,0.2667553079504096,9.182146402303124,715816960.9998876,5592321.00000038,0.0007572437422843228,0.9571799735139875,0.0006066951541718978,0.22649017599448062,9.405845597192329,715816961.0001158,5592320.999999973,0.0006066951541718978,0.931845453685244
Fries-Train (10).jpeg,0.005885226852747652,0.4248135682489753,8.066451151301502,715816960.999979,5592321.000000048,0.005885226852747652,0.9824149492598739,0.004290906098244864,0.3468258778290399,8.450069969346641,715816961.0000587,5592321.000000562,0.004290906098244864,0.9571211242505948,0.0050125673324535455,0.37198022567531996,8.29533470857111,715816960.9999667,5592320.999999428,0.0050125673324535455,0.9675376083498802,0.004203184226082697,0.3401140201087541,8.47171691307565,715816961.0000608,5592320.99999987,0.004203184226082697,0.9561549735516287
Fries-Train (100).jpeg,0.0014008373703889058,0.4438197545658892,8.316229818118284,715816961.0001256,5592321.000001756,0.0014008373703889058,0.979943970295087,0.0009452341320784842,0.35201850549216374,8.674454095744203,715816960.9998404,5592321.000000068,0.0009452341320784842,0.9683245918898833,0.0017420944352654257,0.4481450550327729,8.280559322510157,715816961.0001457,5592321.000000432,0.0017420944352654257,0.9853456579356644,0.0010772473285097471,0.37311706558721397,8.567814007112606,715816960.999859,5592320.999999671,0.0010772473285097471,0.9757265963838491
